stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@48km,48.1346,000,CAV,2500,2500,0.997723,0.992944,1.002524,0.004801,0.9903,0.0172,certified
mini@48km,48.1346,000,Ds575,2500,2500,1.000972,0.996536,1.005427,0.004441,0.9710,0.0204,certified
mini@48km,48.1346,000,Ds595,2500,2500,1.003139,1.000475,1.005810,0.002659,0.9760,0.0308,certified
mini@48km,48.1346,000,pSA(0.01),2500,2500,0.999405,0.991824,1.007045,0.007615,1.0377,0.0180,certified
mini@48km,48.1346,000,pSA(0.02),2500,2500,0.999644,0.992082,1.007264,0.007594,1.0376,0.0168,certified
mini@48km,48.1346,000,pSA(0.03),2500,2500,1.000158,0.992664,1.007708,0.007521,1.0372,0.0188,certified
mini@48km,48.1346,000,pSA(0.05),2500,2500,1.000404,0.993069,1.007794,0.007359,1.0069,0.0148,certified
mini@48km,48.1346,000,pSA(0.075),2500,2500,1.003773,0.996124,1.011481,0.007650,1.0034,0.0156,certified
mini@48km,48.1346,000,pSA(0.1),2500,2500,1.002365,0.994237,1.010559,0.008142,1.0351,0.0300,certified
mini@48km,48.1346,000,pSA(0.15),2500,2500,0.995141,0.986246,1.004116,0.008979,0.9897,0.0232,certified
mini@48km,48.1346,000,pSA(0.2),2500,2500,1.005767,0.996262,1.015362,0.009495,1.0157,0.0288,certified
mini@48km,48.1346,000,pSA(0.25),2500,2500,0.991049,0.981008,1.001193,0.010184,1.0222,0.0336,certified
mini@48km,48.1346,000,pSA(0.3),2500,2500,1.002074,0.991747,1.012509,0.010360,0.9967,0.0124,certified
mini@48km,48.1346,000,pSA(0.4),2500,2500,0.990314,0.979575,1.001170,0.010903,0.9992,0.0200,undetermined
mini@48km,48.1346,000,pSA(0.5),2500,2500,0.991278,0.979949,1.002738,0.011495,1.0257,0.0324,undetermined
mini@48km,48.1346,000,pSA(0.75),2500,2500,0.992240,0.980159,1.004470,0.012250,0.9710,0.0236,certified
mini@48km,48.1346,000,pSA(1),2500,2500,0.990153,0.977469,1.003001,0.012893,1.0136,0.0340,undetermined
mini@48km,48.1346,000,pSA(1.5),2500,2500,1.005740,0.992538,1.019118,0.013214,1.0042,0.0208,certified
mini@48km,48.1346,000,pSA(2),2500,2500,1.000538,0.987481,1.013768,0.013136,0.9884,0.0284,certified
mini@48km,48.1346,000,pSA(3),2500,2500,0.994394,0.982022,1.006921,0.012520,0.9715,0.0244,certified
mini@48km,48.1346,000,pSA(4),2500,2500,0.996190,0.984643,1.007873,0.011659,0.9986,0.0156,certified
mini@48km,48.1346,000,pSA(5),2500,2500,1.001015,0.990069,1.012081,0.010995,0.9992,0.0092,certified
mini@48km,48.1346,ver,PGA,2500,2500,1.003895,0.996135,1.011716,0.007760,0.9685,0.0396,certified
mini@48km,48.1346,ver,PGV,2500,2500,0.991550,0.983435,0.999732,0.008218,0.9852,0.0420,certified
mini@48km,48.1346,ver,AI,2500,2500,1.001484,0.991327,1.011746,0.010194,0.9750,0.0136,certified
mini@48km,48.1346,ver,CAV,2500,2500,1.001302,0.996402,1.006226,0.004906,0.9791,0.0196,certified
mini@48km,48.1346,ver,Ds575,2500,2500,0.999234,0.994900,1.003588,0.004347,0.9983,0.0240,certified
mini@48km,48.1346,ver,Ds595,2500,2500,1.001315,0.998733,1.003903,0.002582,1.0151,0.0232,certified
mini@48km,48.1346,ver,pSA(0.01),2500,2500,1.003957,0.996203,1.011772,0.007753,0.9686,0.0408,certified
mini@48km,48.1346,ver,pSA(0.02),2500,2500,1.004250,0.996519,1.012040,0.007727,0.9682,0.0424,certified
mini@48km,48.1346,ver,pSA(0.03),2500,2500,1.003431,0.995781,1.011141,0.007654,0.9641,0.0364,certified
mini@48km,48.1346,ver,pSA(0.05),2500,2500,1.003981,0.996562,1.011455,0.007417,0.9725,0.0288,certified
mini@48km,48.1346,ver,pSA(0.075),2500,2500,1.000198,0.992532,1.007923,0.007694,0.9882,0.0184,certified
mini@48km,48.1346,ver,pSA(0.1),2500,2500,1.011055,1.002801,1.019376,0.008197,0.9764,0.0352,certified
mini@48km,48.1346,ver,pSA(0.15),2500,2500,1.000649,0.991884,1.009491,0.008797,0.9677,0.0224,certified
mini@48km,48.1346,ver,pSA(0.2),2500,2500,1.004381,0.994834,1.014019,0.009550,1.0292,0.0184,certified
mini@48km,48.1346,ver,pSA(0.25),2500,2500,1.003734,0.993807,1.013759,0.009939,0.9971,0.0300,certified
mini@48km,48.1346,ver,pSA(0.3),2500,2500,0.997200,0.986880,1.007628,0.010403,1.0108,0.0168,certified
mini@48km,48.1346,ver,pSA(0.4),2500,2500,0.998678,0.987524,1.009959,0.011232,0.9722,0.0192,certified
mini@48km,48.1346,ver,pSA(0.5),2500,2500,0.987541,0.976218,0.998995,0.011532,0.9813,0.0352,undetermined
mini@48km,48.1346,ver,pSA(0.75),2500,2500,0.993568,0.981352,1.005936,0.012371,0.9791,0.0272,certified
mini@48km,48.1346,ver,pSA(1),2500,2500,0.987093,0.974486,0.999864,0.012854,1.0185,0.0288,undetermined
mini@48km,48.1346,ver,pSA(1.5),2500,2500,0.989309,0.976275,1.002517,0.013262,1.0117,0.0216,undetermined
mini@48km,48.1346,ver,pSA(2),2500,2500,0.991476,0.978644,1.004477,0.013027,0.9728,0.0332,undetermined
mini@48km,48.1346,ver,pSA(3),2500,2500,0.996601,0.984378,1.008976,0.012341,1.0321,0.0200,certified
mini@48km,48.1346,ver,pSA(4),2500,2500,0.991712,0.980414,1.003141,0.011458,1.0027,0.0204,certified
